id;author_id;creation_date;name;is_visible;is_locked;language;number_of_days;number_of_meals_per_day;total_daily_energy;percent_of_protein;percent_of_fat;percent_of_carbohydrates
1;37454;2019-07-22;Fish multi-byte Savings Account;false;false;Pr;7;5;70807;65;2;5
2;96990;2019-07-22;Implementation Electronics Officer;true;false;Al;7;5;61185;40;14;4
3;29214;2019-07-21;Multi-channelled Licensed;true;false;Ca;7;5;60754;68;17;45
4;6505;2019-07-22;Usability South Dakota envisioneer;false;false;Na;7;5;12204;61;50;84
5;3438;2019-07-22;incentivize Tuna copy;false;true;Ma;7;5;96958;85;78;45
6;93949;2019-07-22;Communications capacitor archive;true;false;Ta;7;5;82873;59;36;97
7;28093;2019-07-22;bifurcated scalable;false;false;Ad;7;5;19872;29;0;1
8;81546;2019-07-22;monitor 1080p Checking Account;true;false;Fr;7;5;33090;9;6;37
9;31098;2019-07-22;payment;true;true;CO;7;5;11960;98;72;85
10;76078;2019-07-22;Robust Networked;false;true;pa;7;5;63641;48;31;56
