id;name_polish;name_english
1;tarka;grate
2;mikrofalówka;microwave
3;piekarnik;oven
4;kuchenka;cooker
5;patelnia;frying pan
6;garnek;pot
7;rondel;saucepan
8;otwieracz do puszek;tin opener
9;toaster;toaster
10;korkociąg;corkscrew
11;blaszka do ciasta;backing tray
12;naczynie żaroodporne;casserole dish
13;wałek do ciasta;rolling pin
14;sitko;sieve
15;rękaw do pieczenia;baking sleeve
16;foremka do wykrawania ciastek;biscuit cutter
17;durszlak;colander
18;przesiewacz do mąki;flour sifter
19;lejek;funnel
20;praska do czosnku;garlic press
21;tłuczek do mięsa;meat tenderizer
22;moździerz;mortar and pestle
23;dziadek do orzechów;nutcracker
24;obieraczka;peeler
25;blender;blender
26;wok;wok
27;miska;bowl
28;otwieracz do butelek;bottle opener
