id;source;author_id;description;is_final;is_verified;language;basic_nutrition_data_id;subcategory_id
1;mobile Fish;77969;Savings Account Dam;false;false;FT;1;7
2;Tasty Metal Bacon;93855;Electronics;true;false;me;2;1
3;Namibia;39986;Gorgeous Frozen Pants;false;false;bl;3;4
4;Planner Canyon;85994;Yuan Renminbi Centers;false;true;Pl;4;3
5;Monitored Bahamian Dollar Investment Account;83319;Salad;false;false;in;5;5
6;sky blue Georgia;3131;synthesizing Views e-enable;true;true;Na;6;10
7;navigating;74732;South Georgia and the South Sandwich Islands;true;false;mi;7;2
8;Industrial;42340;reinvent 24 hour Jewelery;false;true;ap;8;10
9;generating Highway Ergonomic;37081;Lempira;true;true;wi;9;4
10;Developer;84891;hard drive Robust Networked;false;true;pa;10;9
