id;source;author_id;description;is_final;is_verified;language;subcategory_id
1;mobile Fish;77969;Savings Account Dam;false;false;FT;8
2;Movies Producer;83244;red Chips Soap;false;true;Gr;6
3;enable Gorgeous Frozen Pants;23277;Licensed Savings Account;false;true;Mi;1
4;Factors;96563;cross-platform access;false;false;Mo;9
5;Salad;39106;Tuna;true;false;Co;2
6;Facilitator;77513;Markets Chief;true;true;ar;10
7;navigating;74732;South Georgia and the South Sandwich Islands;true;false;mi;9
8;Small;98688;index orange;false;false;ma;7
9;Identity;65107;Internal;true;true;ar;4
10;pixel withdrawal;88721;Junction Frozen;true;true;ha;1
