"product_id";"protein";"fat";"carbohydrates";"energy"
"01107";1.03;4.38;6.89;70.00
"01108";3.75;6.89;5.18;97.00
"01109";5.98;7.00;5.36;108.00
"01110";3.05;2.70;21.15;119.00
"01111";3.86;3.03;17.75;112.00
"01112";0.76;0.09;5.12;24.00
"01113";11.73;0.54;73.45;339.00
"01114";0.85;0.36;5.14;27.00
"01115";12.93;1.07;74.46;353.00
"01116";3.47;3.25;4.66;61.00
"01117";5.25;1.55;7.04;63.00
"01118";5.73;0.18;7.68;56.00
"01119";4.93;1.25;13.80;85.00
"01120";3.98;1.15;18.64;99.00
"01121";4.37;1.08;19.05;102.00
"01122";4.86;1.41;18.60;105.00
"01123";12.56;9.51;0.72;143.00
"01124";10.90;0.17;0.73;52.00
"01125";15.86;26.54;3.59;322.00
"01126";15.53;25.60;0.81;296.00
"01127";13.87;22.82;10.95;307.00
"01128";13.61;14.84;0.83;196.00
"01129";12.58;10.61;1.12;155.00
"01130";10.57;11.66;0.64;154.00
"01131";12.51;9.47;0.71;143.00
"01132";9.99;10.98;1.61;149.00
"01133";48.05;43.90;1.13;592.00
"01134";48.17;43.95;2.38;615.00
"01135";76.92;0.04;4.17;351.00
"01136";82.40;0.04;4.47;376.00
"01137";33.63;59.13;0.66;669.00
"01138";12.81;13.77;1.45;185.00
"01139";13.87;13.27;1.35;185.00
"01140";13.05;11.09;0.41;158.00
"01141";13.68;11.88;1.15;171.00
"01144";55.50;13.00;21.80;444.00
"01145";0.85;81.11;0.06;717.00
"01146";37.86;27.34;3.41;415.00
"01151";3.37;0.18;4.86;35.00
"01152";3.95;1.98;5.49;56.00
"01153";6.81;7.56;10.04;134.00
"01154";36.16;0.77;51.98;362.00
"01155";35.10;0.72;52.19;358.00
"01156";30.52;35.59;2.17;452.00
"01157";21.58;29.84;0.12;364.00
"01158";7.75;1.47;11.91;92.00
"01159";18.52;21.08;0.00;264.00
"01160";14.07;22.93;1.77;275.00
"01161";11.47;12.22;23.67;248.00
"01162";7.64;1.69;11.84;93.00
"01164";10.33;14.92;5.48;197.00
"01165";21.44;29.98;4.63;373.00
"01166";22.60;25.00;4.13;356.00
"01167";21.56;29.68;5.56;374.00
"01168";24.35;7.00;1.91;173.00
"01169";24.35;32.62;1.91;398.00
"01171";12.33;9.95;1.01;147.00
"01172";10.20;0.00;1.04;48.00
"01173";81.10;0.00;7.80;382.00
"01174";3.30;1.98;4.80;50.00
"01175";3.37;0.97;4.99;42.00
"01178";7.00;14.10;7.00;181.00
"01179";3.50;10.60;7.10;136.00
"01180";3.10;0.00;15.60;74.00
"01184";3.86;0.18;7.50;43.00
"01185";40.00;5.00;40.00;370.00
"01186";15.69;1.00;7.66;105.00
"01187";3.53;0.00;23.53;112.00
"01188";12.00;21.00;9.20;276.00
"01189";16.30;9.50;16.20;215.00
"01190";22.70;1.00;11.70;148.00
"01191";16.30;22.00;9.80;303.00
"01192";19.60;10.60;11.80;222.00
"01193";4.50;12.00;6.50;152.00
"01194";4.70;1.30;15.10;91.00
"01199";2.60;1.40;9.00;59.00
"01200";3.00;5.00;25.00;149.00
"01202";2.99;1.90;12.13;78.00
"01203";4.86;1.41;18.60;105.00
"01204";20.00;20.00;1.37;265.00
"01205";0.69;13.50;35.07;251.00
"01206";0.68;21.47;75.42;482.00
"01208";24.70;17.60;3.50;274.00
"01209";24.69;19.40;3.41;282.00
"01211";3.15;3.27;4.78;61.00
"01212";26.32;26.71;38.42;496.00
"01215";17.60;14.10;10.60;240.00
"01216";3.98;1.15;18.64;99.00
"01217";4.37;1.08;19.05;102.00
"01218";4.40;0.20;19.00;95.00
"01219";4.86;1.41;18.60;105.00
"01220";4.93;1.25;13.80;85.00
"01221";3.86;0.18;7.50;43.00
"01222";3.53;0.00;23.53;112.00
"01223";45.71;17.14;18.50;411.00
"01224";50.00;12.00;22.00;396.00
"01225";6.84;7.35;55.35;315.00
"01226";10.00;0.00;2.00;48.00
"01227";24.51;24.35;2.04;325.00
"01228";18.09;23.82;2.98;299.00
"01229";20.38;24.31;2.53;310.00
"01230";3.21;3.31;4.88;62.00
"01231";4.93;1.25;13.80;86.00
"01235";4.40;0.80;19.70;104.00
"01236";4.10;13.00;22.20;222.00
"01237";4.10;24.10;24.50;331.00
"01238";4.29;8.57;37.14;237.00
"01239";3.70;7.40;39.60;240.00
"01240";5.21;21.88;34.38;354.00
"01241";4.29;3.04;39.64;186.00
"01242";5.71;2.86;42.86;200.00
"01243";4.41;0.00;28.86;133.00
"01244";4.41;1.47;32.00;147.00
"01001";0.85;81.11;0.06;717.00
"01002";0.49;78.30;0.00;731.00
"01003";0.28;99.48;0.00;876.00
"01004";21.40;28.74;2.34;353.00
"01005";23.24;29.68;2.79;371.00
"01006";20.75;27.68;0.45;334.00
"01007";19.80;24.26;0.46;300.00
"01008";25.18;29.20;3.06;376.00
"01009";22.87;33.31;3.37;403.00
"01010";23.37;30.60;4.78;387.00
"01011";23.76;32.11;2.57;394.00
"01012";11.12;4.30;3.38;98.00
"01013";10.69;3.85;4.61;97.00
"01014";10.34;0.29;6.66;72.00
"01015";10.45;2.27;4.76;81.00
"01016";12.39;1.02;2.72;72.00
"01017";6.15;34.44;5.52;350.00
"01018";24.99;28.57;1.43;357.00
"01019";14.21;21.49;3.88;265.00
"01020";25.60;31.14;1.55;389.00
"01021";9.65;29.51;42.65;466.00
"01022";24.94;27.44;2.22;356.00
"01023";29.81;32.34;0.36;413.00
"01024";20.05;27.25;0.49;327.00
"01025";24.48;30.28;0.68;373.00
"01026";22.17;22.14;2.40;299.00
"01027";21.60;24.64;2.47;318.00
"01028";24.26;15.92;2.77;254.00
"01029";23.75;19.78;5.58;295.00
"01030";23.41;30.04;1.12;368.00
"01031";9.15;22.78;3.59;253.00
"01032";28.42;27.84;13.91;420.00
"01033";35.75;25.00;3.22;392.00
"01034";23.78;28.20;0.57;352.00
"01035";25.58;26.62;2.14;351.00
"01036";7.54;10.18;7.27;150.00
"01037";11.39;7.91;5.14;138.00
"01038";31.80;26.94;3.63;387.00
"01039";21.54;30.64;2.00;369.00
"01040";26.96;30.99;1.44;393.00
"01041";24.41;25.98;1.88;340.00
"01042";18.13;30.71;4.78;366.00
"01043";22.13;31.20;1.73;375.00
"01044";24.73;25.01;2.10;334.00
"01045";19.66;24.46;8.32;331.00
"01046";16.86;25.63;8.56;330.00
"01047";21.92;24.14;4.50;323.00
"01048";16.41;21.23;8.73;290.00
"01049";3.13;11.50;4.30;131.00
"01050";2.96;19.10;3.66;195.00
"01052";2.17;30.91;2.96;292.00
"01053";2.84;36.08;2.84;340.00
"01054";3.20;22.22;12.49;257.00
"01055";2.94;12.00;4.26;135.00
"01056";2.44;19.35;4.63;198.00
"01057";4.55;4.19;8.05;88.00
"01058";3.25;16.57;4.68;178.00
"01059";3.33;3.46;4.74;63.00
"01060";3.33;3.40;4.74;63.00
"01061";21.05;0.00;10.53;126.00
"01064";7.22;1.71;12.15;93.00
"01065";8.11;1.71;11.04;92.00
"01067";1.00;9.97;11.38;136.00
"01068";1.00;9.97;11.38;136.00
"01069";2.48;32.92;59.29;529.00
"01070";4.90;39.92;52.54;577.00
"01071";3.61;12.72;17.13;194.00
"01072";0.98;22.30;16.07;264.00
"01073";1.25;25.31;23.05;318.00
"01074";2.40;19.52;6.63;208.00
"01076";1.75;3.41;6.16;61.00
"01077";3.15;3.25;4.80;61.00
"01078";3.28;3.66;4.65;64.00
"01079";3.30;1.98;4.80;50.00
"01080";3.48;1.92;4.97;51.00
"01081";3.95;1.98;5.49;56.00
"01082";3.37;0.97;4.99;42.00
"01083";3.48;0.97;4.97;43.00
"01084";3.93;1.17;5.52;48.00
"01085";3.37;0.08;4.96;34.00
"01086";3.57;0.25;5.02;37.00
"01087";3.96;0.25;5.56;41.00
"01088";3.31;1.07;4.79;40.00
"01089";3.10;3.46;4.46;61.00
"01090";26.32;26.71;38.42;496.00
"01091";36.16;0.77;51.98;362.00
"01092";35.10;0.72;52.19;358.00
"01093";35.50;0.20;51.80;354.00
"01094";34.30;5.78;49.00;387.00
"01095";7.91;8.70;54.40;321.00
"01096";6.81;7.56;10.04;134.00
"01097";7.55;0.20;11.35;78.00
"01102";3.17;3.39;10.34;83.00
"01103";2.99;1.90;12.13;76.00
"01104";3.46;1.11;10.15;64.00
"01105";3.52;2.34;10.74;77.00
"01106";3.56;4.14;4.45;69.00
"01249";8.26;1.83;10.94;93.00
"01250";4.40;3.08;11.88;88.00
"01251";23.54;32.14;0.13;384.00
"01252";16.09;23.06;8.85;307.00
"01253";18.13;31.79;3.70;371.00
"01254";16.86;25.63;8.56;330.00
"01255";10.97;10.07;0.83;138.00
"01256";10.19;0.39;3.60;59.00
"01258";84.08;0.32;4.51;357.00
"01259";13.41;8.88;10.71;176.00
"01260";27.35;20.41;2.67;316.00
"01263";3.36;3.69;23.15;141.00
"01264";2.11;25.26;37.12;358.00
"01265";32.14;0.00;7.14;157.00
"01266";28.40;0.00;3.40;127.00
"01267";20.00;30.00;3.97;366.00
"01270";24.25;33.82;2.13;410.00
"01271";23.63;19.72;8.06;304.00
"01275";9.07;0.22;8.09;71.00
"01276";8.25;2.92;11.67;106.00
"01278";8.12;0.14;12.72;85.00
"01280";8.03;0.22;12.53;84.00
"01284";8.17;2.57;12.29;105.00
"01285";8.05;0.15;12.07;82.00
"01286";8.64;0.18;10.37;78.00
"01287";9.95;1.92;3.94;73.00
"01289";3.79;1.02;4.77;43.00
"01290";3.39;0.90;10.20;62.00
"01291";6.67;2.00;15.74;107.00
"01292";3.39;0.00;13.46;67.00
"01293";9.00;5.00;3.98;97.00
"01294";7.33;3.00;12.29;106.00
"01295";2.94;0.00;17.04;78.00
"01297";8.64;2.50;9.54;95.00
"01298";8.00;2.50;21.00;139.00
"01300";5.62;25.84;11.89;303.00
"01301";3.00;14.00;28.89;254.00
"01302";1.54;3.08;32.75;165.00
"01303";3.33;5.00;3.33;72.00
"01304";7.05;1.82;12.27;94.00
"01305";3.43;1.04;7.68;57.00
"01306";5.33;9.33;40.01;265.00
"01307";8.00;1.71;10.24;88.00
"01308";8.24;4.01;3.24;82.00
"01312";8.62;0.15;10.66;78.00
"01313";7.76;0.11;11.90;80.00
"01314";9.53;0.24;3.43;54.00
"01316";7.65;0.22;11.98;81.00
"01319";7.45;0.18;12.13;80.00
"01320";7.23;0.24;12.78;82.00
"01321";7.28;0.23;11.86;79.00
"01322";7.54;0.37;15.43;95.00
"01323";0.00;100.00;0.00;900.00
"02001";6.09;8.69;72.12;263.00
"02002";17.60;15.90;50.02;337.00
"02003";22.98;4.07;47.75;233.00
"02004";7.61;8.36;74.97;313.00
"02005";19.77;14.59;49.90;333.00
"02006";10.76;6.70;68.47;311.00
"02007";18.07;25.27;41.35;392.00
"02008";23.20;3.90;49.10;237.00
"02009";13.46;14.28;49.70;282.00
"02010";3.99;1.24;80.59;247.00
"02011";5.97;13.00;65.53;274.00
"02012";21.93;4.78;52.10;279.00
"02013";12.37;17.77;54.99;298.00
"02014";17.81;22.27;44.24;375.00
"02015";14.29;14.01;55.83;325.00
"02016";15.98;14.54;55.17;305.00
"02017";19.96;4.36;55.82;253.00
"02018";15.80;14.87;52.29;345.00
"02019";23.00;6.41;58.35;323.00
"02020";16.55;0.73;72.73;331.00
"02021";8.98;4.24;71.62;335.00
"02022";6.71;32.38;50.50;475.00
"02023";12.66;7.04;60.56;271.00
"02024";26.08;36.24;28.09;508.00
"02025";5.84;36.31;49.29;525.00
"02026";10.41;1.04;79.12;341.00
"02027";9.00;4.28;68.92;265.00
"02028";14.14;12.89;53.99;282.00
"02029";26.63;5.48;50.64;292.00
"02030";10.39;3.26;63.95;251.00
"02031";12.01;17.27;56.63;318.00
"02032";10.40;2.12;68.61;296.00
"02033";17.99;41.56;28.13;525.00
"02034";9.59;7.53;65.59;307.00
"02035";5.76;12.60;69.28;342.00
"02036";4.88;15.22;64.06;331.00
"02037";11.43;5.85;65.37;310.00
"02038";10.63;12.75;60.73;315.00
"02039";6.73;5.91;68.73;272.00
"02041";22.77;7.24;50.22;295.00
"02042";9.11;7.43;63.94;276.00
"02043";9.68;3.25;67.14;312.00
"02044";3.15;0.64;2.65;23.00
"02045";3.46;1.12;7.02;43.00
"02046";3.74;3.34;5.83;60.00
"02047";0.00;0.00;0.00;0.00
"02048";0.00;0.00;0.93;21.00
"02049";5.56;1.68;24.45;101.00
"02050";0.06;0.06;12.65;288.00
"02051";0.05;0.00;2.41;237.00
"02052";0.03;0.00;14.40;56.00
"02053";0.00;0.00;0.04;18.00
"02054";2.36;0.86;4.89;23.00
"02055";1.18;0.69;11.29;48.00
"02063";3.31;5.86;20.70;131.00
"02064";3.75;0.94;14.89;70.00
"02065";3.29;0.73;8.41;44.00
"02066";19.93;6.03;52.04;285.00
