id;ordinal_number;html_content;card_image;card_image_content_type
1;37454;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
2;79654;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
3;95071;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
4;18344;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
5;73199;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
6;77969;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
7;59866;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
8;59685;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
9;15602;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
10;44583;../data/faker/blob/hipster.txt;../data/faker/blob/hipster.png;image/png
